거래ID,날짜,카테고리,가맹점,결제수단,금액,메모
TX100156,2025-02-27,의료/건강,한의원,체크카드,3800.0,
TX100446,2025-06-18,카페/간식,메가커피,신용카드,11100.0,
TX100658,2025-09-04,식비,교촌치킨,체크카드,22300.0,
TX100249,2025-04-04,교통,주차장,신용카드,5600.0,
TX100250,2025-04-05,식비,교촌치킨,신용카드,17300.0,
TX100359,2025-05-15,식비,본죽,간편결제,-5600.0,
TX100733,2025-09-30,카페/간식,이디야커피,신용카드,7500.0,
TX100791,2025-10-23,교통,주차장,신용카드,5000.0,
TX100822,2025-11-03,교통,서울교통공사,신용카드,3200.0,
TX100031,2025-01-10,카페/간식,컴포즈커피,신용카드,6700.0,
TX100751,2025-10-07,교통,주유소(SK),신용카드,4000.0,
TX100935,2025-12-17,식비,김밥천국,체크카드,14200.0,
TX100120,2025-02-13,쇼핑,올리브영,신용카드,65700.0,
TX100506,2025-07-10,식비,배달의민족,간편결제,10800.0,
TX100117,2025-02-12,교통,서울교통공사,신용카드,5500.0,
TX100494,2025-07-06,식비,요기요,체크카드,13300.0,
TX100656,2025-09-03,구독서비스,쿠팡와우,신용카드,12500.0,
TX100292,2025-04-21,교통,카카오T,신용카드,6200.0,
TX100029,2025-01-09,문화/여가,롯데시네마,간편결제,22800.0,
TX100382,2025-05-23,교통,주차장,간편결제,2800.0,
TX100308,2025-04-27,카페/간식,메가커피,신용카드,5900.0,
TX100472,2025-06-27,카페/간식,이디야커피,간편결제,5100.0,
TX100877,2025-11-25,식비,요기요,체크카드,17800.0,
TX100201,2025-03-18,식비,요기요,신용카드,20600.0,
TX100554,2025-07-28,쇼핑,지마켓,신용카드,55400.0,
TX100386,2025-05-25,카페/간식,스타벅스,신용카드,5300.0,
TX100693,2025-09-18,식비,김밥천국,신용카드,13100.0,
TX100642,2025-08-30,문화/여가,롯데시네마,신용카드,12800.0,
TX100878,2025-11-25,카페/간식,,신용카드,11300.0,
TX100771,2025-10-14,카페/간식,베스킨라빈스,간편결제,8200.0,
TX100734,2025-09-30,교통,카카오T,신용카드,6000.0,
TX100315,2025-04-30,교통,SRT,간편결제,3400.0,
TX100747,2025-10-05,카페/간식,이디야커피,체크카드,1800.0,
TX100281,2025-04-17,식비,교촌치킨,체크카드,9100.0,
TX100922,2025-12-10,교통,SRT,간편결제,1400.0,
TX100736,2025-09-30,문화/여가,공연티켓,간편결제,33900.0,
TX100354,2025-05-13,통신,KT,체크카드,65200.0,
TX100625,2025-08-24,카페/간식,컴포즈커피,간편결제,3900.0,
TX100208,2025-03-19,교통,카카오T,신용카드,3400.0,
TX100377,2025-05-22,식비,교촌치킨,신용카드,8200.0,
TX100745,2025-10-04,교통,주유소(SK),체크카드,4600.0,
TX100413,2025-06-08,식비,배달의민족,체크카드,11100.0,
TX100769,2025-10-13,교통,서울교통공사,체크카드,4000.0,
TX100024,2025-01-07,카페/간식,투썸플레이스,신용카드,-7000.0,
TX100341,2025-05-08,쇼핑,무신사,간편결제,14000.0,
TX100675,2025-09-10,식비,요기요,신용카드,11700.0,
TX100619,2025-08-20,구독서비스,멜론,간편결제,16700.0,
TX100155,2025-02-27,주거/관리비,한국전력공사,신용카드,528100.0,
TX100834,2025-11-09,교통,주차장,신용카드,4600.0,
TX100707,2025-09-23,카페/간식,파리바게뜨,신용카드,7200.0,
TX100531,2025-07-20,식비,요기요,신용카드,16400.0,
TX100857,2025-11-17,식비,교촌치킨,신용카드,7500.0,
TX100323,2025-05-03,문화/여가,호텔예약,간편결제,17000.0,
TX100875,2025-11-24,식비,김밥천국,신용카드,23000.0,
TX100582,2025-08-07,식비,본죽,간편결제,12300.0,
TX100871,2025-11-22,교통,주유소(SK),체크카드,4500.0,
TX100932,2025-12-14,문화/여가,롯데시네마,신용카드,14800.0,
TX100263,2025-04-09,카페/간식,투썸플레이스,체크카드,7500.0,
TX100458,2025-06-22,교통,서울교통공사,체크카드,5700.0,
TX100085,2025-01-30,교통,주차장,신용카드,3800.0,
TX100723,2025-09-28,식비,배달의민족,간편결제,21100.0,
TX100407,2025-06-03,식비,쿠팡이츠,간편결제,21500.0,
TX100453,2025-06-21,식비,한솥도시락,신용카드,21100.0,
TX100468,2025-06-25,의료/건강,헬스장,신용카드,28300.0,
TX100937,2025-12-17,교통,SRT,간편결제,3100.0,
TX100563,2025-08-01,카페/간식,메가커피,신용카드,4400.0,
TX100039,2025-01-13,식비,동네식당,체크카드,13200.0,
TX100418,2025-06-09,문화/여가,넷플릭스 결제,신용카드,38400.0,
TX100164,2025-03-02,식비,편의점(CU),신용카드,11000.0,
TX100334,2025-05-06,카페/간식,파리바게뜨,체크카드,1000.0,
TX100011,2025-01-04,식비,본죽,체크카드,17500.0,
TX100548,2025-07-26,식비,맘스터치,체크카드,4200.0,
TX100471,2025-06-27,식비,쿠팡이츠,간편결제,20300.0,
TX100320,2025-05-03,식비,맘스터치,체크카드,22700.0,
TX100033,2025-01-11,식비,한솥도시락,신용카드,15000.0,
TX100558,2025-07-30,교통,주유소(SK),체크카드,6200.0,
TX100850,2025-11-15,식비,쿠팡이츠,체크카드,12300.0,
TX100673,2025-09-09,카페/간식,스타벅스,신용카드,5400.0,
TX100383,2025-05-24,식비,교촌치킨,체크카드,13200.0,
TX100282,2025-04-17,카페/간식,메가커피,신용카드,1000.0,
TX100811,2025-10-30,교통,SRT,간편결제,3300.0,
TX100706,2025-09-22,경조사/기타,경조사비,신용카드,41800.0,
TX100874,2025-11-23,카페/간식,스타벅스,신용카드,13300.0,
TX100660,2025-09-04,교통,카카오T,신용카드,4200.0,
TX100882,2025-11-27,카페/간식,스타벅스,체크카드,3300.0,
TX100378,2025-05-22,카페/간식,컴포즈커피,신용카드,9400.0,
TX100638,2025-08-29,식비,쿠팡이츠,신용카드,19500.0,
TX100509,2025-07-11,카페/간식,컴포즈커피,신용카드,2100.0,
TX100757,2025-10-09,식비,배달의민족,신용카드,1500.0,
TX100833,2025-11-09,카페/간식,메가커피,체크카드,8200.0,
TX100090,2025-02-02,식비,편의점(GS25),신용카드,16900.0,
TX100214,2025-03-21,교통,카카오T,체크카드,3400.0,
TX100322,2025-05-03,쇼핑,무신사,간편결제,5100.0,
TX100863,2025-11-18,문화/여가,공연티켓,간편결제,37300.0,
TX100132,2025-02-18,식비,요기요,신용카드,21600.0,
TX100347,2025-05-11,식비,한솥도시락,신용카드,12200.0,
TX100008,2025-01-03,식비,한솥도시락,신용카드,12200.0,
TX100596,2025-08-12,교통,주유소(SK),체크카드,5400.0,
TX100321,2025-05-03,교통,주유소(SK),신용카드,2900.0,
TX100760,2025-10-09,쇼핑,쿠팡,신용카드,58200.0,
TX100188,2025-03-13,교통,SRT,신용카드,4300.0,
TX100305,2025-04-26,카페/간식,베스킨라빈스,신용카드,5000.0,
TX100032,2025-01-10,교통,SRT,체크카드,4300.0,
TX100591,2025-08-10,식비,배달의민족,신용카드,16800.0,
TX100239,2025-04-01,카페/간식,투썸플레이스,간편결제,4300.0,
TX100968,2025-12-31,식비,요기요,간편결제,18400.0,
TX100175,2025-03-08,통신,SKT,신용카드,64400.0,
TX100246,2025-04-03,교통,서울교통공사,간편결제,5300.0,
TX100055,2025-01-18,식비,편의점(GS25),간편결제,2000.0,
TX100779,2025-10-18,식비,편의점(GS25),신용카드,8700.0,
TX100146,2025-02-22,문화/여가,CGV,신용카드,31500.0,
TX100091,2025-02-02,교통,카카오T,신용카드,3100.0,
TX100394,2025-05-29,쇼핑,무신사,신용카드,101100.0,
TX100311,2025-04-28,교통,주유소(SK),체크카드,2100.0,
TX100361,2025-05-16,카페/간식,컴포즈커피,신용카드,8500.0,
TX100094,2025-02-03,교통,서울교통공사,체크카드,3600.0,
TX100796,2025-10-25,카페/간식,이디야커피,체크카드,6900.0,
TX100864,2025-11-19,카페/간식,투썸플레이스,체크카드,7000.0,
TX100380,2025-05-22,의료/건강,내과의원,체크카드,22000.0,
TX100243,2025-04-02,카페/간식,베스킨라빈스,신용카드,5600.0,
TX100795,2025-10-25,식비,쿠팡이츠,신용카드,17500.0,
TX100086,2025-02-01,식비,배달의민족,신용카드,20900.0,
TX100215,2025-03-22,식비,쿠팡이츠,신용카드,20000.0,
TX100944,2025-12-21,식비,한솥도시락,신용카드,8000.0,
TX100174,2025-03-08,카페/간식,컴포즈커피,간편결제,4300.0,
TX100426,2025-06-12,카페/간식,스타벅스,신용카드,6300.0,
TX100749,2025-10-06,식비,김밥천국,신용카드,7000.0,
TX100121,2025-02-13,문화/여가,롯데시네마,간편결제,20100.0,
TX100118,2025-02-13,식비,요기요,신용카드,26000.0,
TX100615,2025-08-19,교통,주차장,체크카드,3100.0,
TX100001,2025-01-01,식비,본죽,신용카드,7300.0,
TX100395,2025-05-30,식비,동네식당,체크카드,3500.0,
TX100402,2025-06-01,식비,편의점(CU),간편결제,9500.0,
TX100405,2025-06-02,식비,한솥도시락,신용카드,21800.0,
TX100595,2025-08-12,식비,맘스터치,신용카드,90000.0,
TX100603,2025-08-15,카페/간식,스타벅스,체크카드,3900.0,
TX100163,2025-03-01,쇼핑,쿠팡,신용카드,40500.0,
TX100115,2025-02-12,식비,요기요,체크카드,1000.0,
TX100151,2025-02-26,식비,교촌치킨,간편결제,17900.0,
TX100568,2025-08-02,의료/건강,한의원,간편결제,280000.0,
TX100787,2025-10-22,식비,동네식당,체크카드,8200.0,
TX100369,2025-05-19,식비,편의점(CU),신용카드,3100.0,
TX100545,2025-07-24,교통,SRT,간편결제,3800.0,
TX100478,2025-06-29,식비,맘스터치,신용카드,19500.0,
TX100533,2025-07-20,쇼핑,이마트,간편결제,43900.0,
TX100950,2025-12-23,식비,김밥천국,체크카드,22200.0,
TX100570,2025-08-03,카페/간식,투썸플레이스,체크카드,4500.0,
TX100923,2025-12-11,식비,요기요,체크카드,12700.0,
TX100259,2025-04-08,카페/간식,스타벅스,신용카드,,
TX100861,2025-11-18,카페/간식,파리바게뜨,체크카드,5200.0,
TX100136,2025-02-19,식비,교촌치킨,체크카드,24600.0,
TX100894,2025-12-01,카페/간식,베스킨라빈스,신용카드,3300.0,
TX100614,2025-08-19,식비,교촌치킨,체크카드,15900.0,
TX100770,2025-10-14,식비,교촌치킨,체크카드,19000.0,
TX100502,2025-07-09,식비,김밥천국,체크카드,14400.0,
TX100539,2025-07-22,교통,SRT,체크카드,2500.0,
TX100633,2025-08-27,식비,요기요,간편결제,7100.0,
TX100344,2025-05-09,쇼핑,무신사,신용카드,71900.0,
TX100655,2025-09-03,쇼핑,쿠팡,신용카드,1000.0,
TX100599,2025-08-14,카페/간식,베스킨라빈스,간편결제,10200.0,
TX100294,2025-04-22,식비,편의점(GS25),신용카드,12800.0,
TX100365,2025-05-18,식비,한솥도시락,신용카드,24000.0,
TX100685,2025-09-14,식비,교촌치킨,체크카드,14700.0,
TX100017,2025-01-05,쇼핑,올리브영,간편결제,1000.0,
TX100089,2025-02-01,의료/건강,약국,간편결제,4800.0,
TX100371,2025-05-20,식비,한솥도시락,신용카드,7900.0,
TX100167,2025-03-04,교통,SRT,신용카드,4900.0,
TX100851,2025-11-15,카페/간식,투썸플레이스,신용카드,12200.0,
TX100336,2025-05-07,카페/간식,파리바게뜨,신용카드,8200.0,
TX100058,2025-01-19,식비,본죽,간편결제,14400.0,
TX100355,2025-05-13,의료/건강,한의원,신용카드,1000.0,
TX100425,2025-06-12,식비,동네식당,체크카드,11000.0,
TX100293,2025-04-21,구독서비스,쿠팡와우,신용카드,11600.0,
TX100044,2025-01-14,구독서비스,유튜브프리미엄,신용카드,14000.0,
TX100331,2025-05-05,문화/여가,CGV,체크카드,30200.0,
TX100430,2025-06-13,카페/간식,컴포즈커피,간편결제,3600.0,
TX100080,2025-01-27,식비,본죽,간편결제,25300.0,
TX100027,2025-01-09,식비,본죽,체크카드,8100.0,
TX100257,2025-04-07,문화/여가,호텔예약,체크카드,16400.0,
TX100726,2025-09-28,쇼핑,쿠팡,신용카드,7000.0,
TX100459,2025-06-23,식비,맘스터치,체크카드,25800.0,
TX100384,2025-05-24,카페/간식,메가커피,신용카드,9800.0,
TX100314,2025-04-30,식비,쿠팡이츠,신용카드,29500.0,
TX100084,2025-01-30,카페/간식,파리바게뜨,체크카드,11100.0,
TX100573,2025-08-04,식비,김밥천국,신용카드,5800.0,
TX100137,2025-02-19,카페/간식,투썸플레이스,신용카드,1000.0,
TX100112,2025-02-10,교통,카카오T,간편결제,3000.0,
TX100195,2025-03-15,쇼핑,지마켓,신용카드,83200.0,
TX100179,2025-03-10,식비,쿠팡이츠,간편결제,29100.0,
TX100855,2025-11-16,카페/간식,베스킨라빈스,신용카드,8000.0,
TX100497,2025-07-06,문화/여가,호텔예약,체크카드,1000.0,
TX100130,2025-02-17,식비,편의점(GS25),신용카드,14600.0,
TX100338,2025-05-08,식비,김밥천국,신용카드,1000.0,
TX100609,2025-08-17,카페/간식,메가커피,신용카드,3500.0,
TX100125,2025-02-14,의료/건강,약국,신용카드,15700.0,
TX100924,2025-12-12,식비,배달의민족,간편결제,11800.0,
TX100226,2025-03-27,교통,서울교통공사,신용카드,,
TX100270,2025-04-12,카페/간식,이디야커피,신용카드,9300.0,
TX100938,2025-12-18,식비,요기요,신용카드,10800.0,
TX100962,2025-12-28,식비,맘스터치,신용카드,18300.0,
TX100104,2025-02-07,식비,편의점(GS25),신용카드,135000.0,
TX100594,2025-08-10,문화/여가,공연티켓,신용카드,9000.0,
TX100823,2025-11-04,교통,카카오T,체크카드,-3500.0,
TX100716,2025-09-25,경조사/기타,기부,간편결제,68800.0,
TX100228,2025-03-28,식비,동네식당,신용카드,27500.0,
TX100853,2025-11-15,문화/여가,CGV,신용카드,22300.0,
TX100303,2025-04-25,교통,주유소(SK),신용카드,3500.0,
TX100276,2025-04-15,식비,배달의민족,체크카드,10100.0,
TX100127,2025-02-15,카페/간식,투썸플레이스,신용카드,3400.0,
TX100406,2025-06-02,카페/간식,투썸플레이스,체크카드,10500.0,
TX100859,2025-11-17,교통,주유소(SK),신용카드,1900.0,
TX100037,2025-01-12,교통,카카오T,신용카드,5500.0,
TX100140,2025-02-20,식비,교촌치킨,신용카드,3700.0,
TX100304,2025-04-26,식비,요기요,신용카드,9600.0,
TX100268,2025-04-11,의료/건강,헬스장,체크카드,16300.0,
TX100534,2025-07-21,식비,본죽,간편결제,21000.0,
TX100546,2025-07-25,카페/간식,메가커피,신용카드,8000.0,
TX100213,2025-03-21,식비,요기요,간편결제,28400.0,
TX100469,2025-06-26,식비,동네식당,체크카드,9800.0,
TX100199,2025-03-17,카페/간식,베스킨라빈스,신용카드,7500.0,
TX100528,2025-07-18,구독서비스,왓챠,신용카드,7800.0,
TX100767,2025-10-12,의료/건강,헬스장,신용카드,16700.0,
TX100244,2025-04-02,교통,SRT,신용카드,2900.0,
TX100343,2025-05-09,식비,,간편결제,16100.0,
TX100550,2025-07-26,쇼핑,쿠팡,체크카드,48300.0,
TX100387,2025-05-25,교통,카카오T,신용카드,2600.0,
TX100829,2025-11-07,경조사/기타,기부,체크카드,70900.0,
TX100207,2025-03-19,카페/간식,이디야커피,신용카드,6300.0,
TX100296,2025-04-23,식비,요기요,체크카드,13900.0,
TX100744,2025-10-04,카페/간식,베스킨라빈스,신용카드,7200.0,
TX100073,2025-01-25,카페/간식,파리바게뜨,신용카드,8100.0,
TX100838,2025-11-10,쇼핑,올리브영,신용카드,52800.0,
TX100105,2025-02-07,카페/간식,이디야커피,체크카드,1600.0,
TX100666,2025-09-07,카페/간식,파리바게뜨,간편결제,3000.0,
TX100687,2025-09-14,교통,SRT,체크카드,3300.0,
TX100928,2025-12-13,카페/간식,투썸플레이스,간편결제,6600.0,
TX100015,2025-01-05,카페/간식,스타벅스,체크카드,6400.0,
TX100440,2025-06-17,식비,본죽,간편결제,16200.0,
TX100092,2025-02-02,구독서비스,넷플릭스,체크카드,11700.0,
TX100087,2025-02-01,카페/간식,스타벅스,신용카드,5900.0,
TX100451,2025-06-20,카페/간식,메가커피,체크카드,3700.0,
TX100103,2025-02-06,카페/간식,투썸플레이스,신용카드,7700.0,
TX100241,2025-04-01,문화/여가,CGV,간편결제,38000.0,
TX100893,2025-12-01,식비,본죽,체크카드,10100.0,
TX100247,2025-04-04,식비,쿠팡이츠,체크카드,14300.0,
TX100715,2025-09-25,문화/여가,여행사,신용카드,22000.0,
TX100158,2025-02-28,교통,주차장,신용카드,5700.0,
TX100480,2025-06-30,식비,맘스터치,신용카드,10600.0,
TX100649,2025-09-01,쇼핑,무신사,신용카드,94000.0,
TX100815,2025-11-01,식비,편의점(CU),체크카드,14600.0,
TX100794,2025-10-24,카페/간식,베스킨라빈스,신용카드,6000.0,
TX100019,2025-01-06,식비,교촌치킨,간편결제,10300.0,
TX100683,2025-09-13,식비,맘스터치,간편결제,11600.0,
TX100122,2025-02-14,식비,쿠팡이츠,체크카드,11200.0,
TX100806,2025-10-29,식비,쿠팡이츠,신용카드,14900.0,
TX100684,2025-09-13,카페/간식,투썸플레이스,신용카드,6000.0,
TX100275,2025-04-14,교통,SRT,간편결제,4100.0,
TX100434,2025-06-14,카페/간식,스타벅스,신용카드,8900.0,
TX100866,2025-11-20,식비,쿠팡이츠,체크카드,24400.0,
TX100312,2025-04-29,식비,맘스터치,신용카드,16500.0,
TX100735,2025-09-30,쇼핑,쿠팡,간편결제,36400.0,
TX100803,2025-10-28,식비,쿠팡이츠,간편결제,13400.0,
TX100547,2025-07-25,문화/여가,CGV,신용카드,15800.0,
TX100181,2025-03-11,식비,교촌치킨,신용카드,23800.0,
TX100185,2025-03-12,경조사/기타,축의금,간편결제,68300.0,
TX100408,2025-06-03,교통,카카오T,간편결제,2200.0,
TX100605,2025-08-16,식비,맘스터치,체크카드,24000.0,
TX100521,2025-07-16,의료/건강,한의원,신용카드,13100.0,
TX100381,2025-05-23,카페/간식,이디야커피,간편결제,4100.0,
TX100411,2025-06-06,교통,카카오T,간편결제,2300.0,
TX100635,2025-08-27,교통,카카오T,간편결제,2700.0,
TX100370,2025-05-19,카페/간식,메가커피,체크카드,12300.0,
TX100784,2025-10-21,식비,본죽,신용카드,13800.0,
TX100805,2025-10-28,교통,주유소(SK),신용카드,6400.0,
TX100728,2025-09-29,카페/간식,메가커피,간편결제,2200.0,
TX100079,2025-01-26,구독서비스,넷플릭스,신용카드,13400.0,
TX100575,2025-08-04,의료/건강,한의원,체크카드,3600.0,
TX100638,2025-08-29,식비,쿠팡이츠,신용카드,19500.0,
TX100608,2025-08-17,식비,맘스터치,신용카드,13700.0,
TX100768,2025-10-13,식비,배달의민족,체크카드,16400.0,
TX100955,2025-12-25,식비,요기요,체크카드,15800.0,
TX100801,2025-10-27,식비,편의점(CU),신용카드,3700.0,
TX100898,2025-12-02,주거/관리비,도시가스,체크카드,554000.0,
TX100417,2025-06-09,식비,교촌치킨,간편결제,2200.0,
TX100719,2025-09-26,교통,카카오T,체크카드,5400.0,
TX100562,2025-08-01,식비,편의점(GS25),체크카드,99000.0,
TX100068,2025-01-23,교통,서울교통공사,간편결제,6000.0,
TX100537,2025-07-22,식비,김밥천국,신용카드,13100.0,
TX100078,2025-01-26,카페/간식,파리바게뜨,신용카드,11100.0,
TX100106,2025-02-07,쇼핑,이마트,신용카드,46700.0,
TX100969,2025-12-31,문화/여가,호텔예약,신용카드,23100.0,
TX100753,2025-10-08,식비,쿠팡이츠,신용카드,20700.0,
TX100639,2025-08-29,카페/간식,컴포즈커피,신용카드,6300.0,
TX100560,2025-07-31,식비,동네식당,신용카드,20500.0,
TX100737,2025-09-30,구독서비스,왓챠,간편결제,11000.0,
TX100691,2025-09-17,식비,요기요,간편결제,13600.0,
TX100837,2025-11-10,카페/간식,베스킨라빈스,신용카드,2400.0,
TX100957,2025-12-26,식비,편의점(CU),체크카드,19700.0,
TX100839,2025-11-11,식비,동네식당,신용카드,12600.0,
TX100752,2025-10-07,쇼핑,네이버페이,신용카드,1000.0,
TX100491,2025-07-04,카페/간식,,체크카드,7300.0,
TX100960,2025-12-27,카페/간식,메가커피,간편결제,4000.0,
TX100814,2025-10-31,카페/간식,베스킨라빈스,신용카드,2400.0,
TX100607,2025-08-16,교통,카카오T,체크카드,4500.0,
TX100363,2025-05-17,식비,교촌치킨,신용카드,15900.0,
TX100070,2025-01-24,카페/간식,이디야커피,간편결제,2100.0,
TX100549,2025-07-26,카페/간식,스타벅스,신용카드,1000.0,
TX100161,2025-03-01,카페/간식,스타벅스,체크카드,13400.0,
TX100012,2025-01-04,카페/간식,메가커피,신용카드,9200.0,
TX100145,2025-02-22,카페/간식,컴포즈커피,간편결제,7200.0,
TX100518,2025-07-16,식비,편의점(CU),체크카드,18900.0,
TX100428,2025-06-12,문화/여가,공연티켓,간편결제,34700.0,
TX100640,2025-08-30,식비,교촌치킨,체크카드,13500.0,
TX100177,2025-03-09,카페/간식,베스킨라빈스,체크카드,8500.0,
TX100441,2025-06-17,카페/간식,이디야커피,신용카드,7100.0,
TX100522,2025-07-17,식비,교촌치킨,신용카드,11100.0,
TX100840,2025-11-11,쇼핑,올리브영,신용카드,55000.0,
TX100909,2025-12-06,식비,맘스터치,체크카드,14700.0,
TX100689,2025-09-16,식비,본죽,간편결제,16200.0,
TX100232,2025-03-30,카페/간식,컴포즈커피,체크카드,5300.0,
TX100212,2025-03-20,교통,주차장,신용카드,1900.0,
TX100641,2025-08-30,카페/간식,파리바게뜨,신용카드,8200.0,
TX100144,2025-02-22,식비,동네식당,간편결제,19100.0,
TX100520,2025-07-16,교통,주유소(SK),신용카드,1600.0,
TX100966,2025-12-30,식비,편의점(CU),신용카드,9000.0,
TX100298,2025-04-24,카페/간식,스타벅스,신용카드,4900.0,
TX100429,2025-06-13,식비,편의점(CU),신용카드,21200.0,
TX100613,2025-08-18,쇼핑,이마트,신용카드,58200.0,
TX100953,2025-12-23,구독서비스,쿠팡와우,신용카드,5300.0,
TX100009,2025-01-03,카페/간식,파리바게뜨,신용카드,8700.0,
TX100157,2025-02-28,식비,배달의민족,신용카드,11300.0,
TX100540,2025-07-22,쇼핑,올리브영,체크카드,19300.0,
TX100507,2025-07-10,교통,서울교통공사,신용카드,5000.0,
TX100435,2025-06-15,식비,김밥천국,신용카드,18000.0,
TX100267,2025-04-11,교통,주유소(SK),간편결제,2300.0,
TX100462,2025-06-24,식비,본죽,체크카드,2700.0,
TX100577,2025-08-05,식비,배달의민족,체크카드,,
TX100339,2025-05-08,카페/간식,스타벅스,신용카드,9800.0,
TX100254,2025-04-07,식비,맘스터치,신용카드,9800.0,
TX100778,2025-10-17,카페/간식,베스킨라빈스,간편결제,1400.0,
TX100820,2025-11-03,식비,요기요,신용카드,24800.0,
TX100667,2025-09-07,교통,SRT,체크카드,4600.0,
TX100561,2025-07-31,교통,카카오T,체크카드,3700.0,
TX100209,2025-03-19,의료/건강,약국,체크카드,19700.0,
TX100288,2025-04-20,식비,쿠팡이츠,체크카드,19300.0,
TX100002,2025-01-01,카페/간식,베스킨라빈스,체크카드,75000.0,
TX100342,2025-05-08,통신,LGU+,신용카드,66300.0,
TX100269,2025-04-12,식비,요기요,신용카드,10100.0,
TX100266,2025-04-11,식비,동네식당,신용카드,17500.0,
TX100790,2025-10-22,문화/여가,호텔예약,체크카드,14300.0,
TX100793,2025-10-24,식비,교촌치킨,신용카드,10700.0,
TX100096,2025-02-03,통신,KT,신용카드,60100.0,
TX100934,2025-12-15,구독서비스,멜론,신용카드,11600.0,
TX100042,2025-01-14,교통,주차장,신용카드,1800.0,
TX100777,2025-10-17,식비,맘스터치,간편결제,8000.0,
TX100964,2025-12-29,식비,편의점(GS25),체크카드,3500.0,
TX100910,2025-12-06,카페/간식,스타벅스,신용카드,6700.0,
TX100629,2025-08-25,경조사/기타,축의금,간편결제,45000.0,
TX100046,2025-01-15,카페/간식,투썸플레이스,신용카드,1000.0,
TX100162,2025-03-01,교통,주유소(SK),간편결제,2500.0,
TX100730,2025-09-29,문화/여가,CGV,신용카드,42200.0,
TX100630,2025-08-26,식비,교촌치킨,체크카드,13100.0,
TX100289,2025-04-20,교통,주차장,체크카드,4600.0,
TX100588,2025-08-09,식비,맘스터치,간편결제,10900.0,
TX100860,2025-11-18,식비,쿠팡이츠,신용카드,25700.0,
TX100919,2025-12-09,교통,주차장,신용카드,2500.0,
TX100574,2025-08-04,교통,주차장,신용카드,2400.0,
TX100316,2025-05-01,식비,맘스터치,체크카드,1000.0,
TX100231,2025-03-30,식비,편의점(CU),간편결제,24300.0,
TX100697,2025-09-20,식비,요기요,신용카드,15300.0,
TX100797,2025-10-25,쇼핑,다이소,신용카드,60700.0,
TX100712,2025-09-24,의료/건강,내과의원,신용카드,3300.0,
TX100077,2025-01-26,식비,배달의민족,신용카드,8600.0,
TX100634,2025-08-27,카페/간식,컴포즈커피,체크카드,1400.0,
TX100939,2025-12-18,교통,주유소(SK),신용카드,3800.0,
TX100248,2025-04-04,카페/간식,스타벅스,간편결제,7000.0,
TX100477,2025-06-28,교통,서울교통공사,신용카드,5000.0,
TX100671,2025-09-08,구독서비스,멜론,신용카드,9300.0,
TX100088,2025-02-01,교통,주차장,간편결제,5600.0,
TX100470,2025-06-26,의료/건강,헬스장,신용카드,12100.0,
TX100225,2025-03-27,식비,한솥도시락,간편결제,13100.0,
TX100775,2025-10-16,식비,김밥천국,신용카드,13300.0,
TX100330,2025-05-05,카페/간식,컴포즈커피,간편결제,13300.0,
TX100234,2025-03-30,구독서비스,넷플릭스,간편결제,13000.0,
TX100589,2025-08-09,카페/간식,베스킨라빈스,체크카드,1000.0,
TX100475,2025-06-28,식비,동네식당,신용카드,26300.0,
TX100862,2025-11-18,교통,주차장,신용카드,2000.0,
TX100841,2025-11-12,식비,요기요,체크카드,18200.0,
TX100598,2025-08-14,식비,편의점(GS25),신용카드,9200.0,
TX100422,2025-06-11,카페/간식,파리바게뜨,신용카드,7600.0,
TX100688,2025-09-15,구독서비스,멜론,신용카드,13800.0,
TX100183,2025-03-12,식비,한솥도시락,간편결제,21300.0,
TX100618,2025-08-20,주거/관리비,한국전력공사,신용카드,589800.0,
TX100333,2025-05-06,식비,쿠팡이츠,신용카드,10100.0,
TX100439,2025-06-16,식비,배달의민족,신용카드,20500.0,
TX100050,2025-01-16,교통,서울교통공사,간편결제,4800.0,
TX100006,2025-01-02,카페/간식,베스킨라빈스,체크카드,8300.0,
TX100529,2025-07-19,식비,배달의민족,신용카드,21500.0,
TX100237,2025-03-31,교통,카카오T,간편결제,3300.0,
TX100487,2025-07-03,식비,맘스터치,신용카드,10400.0,
TX100876,2025-11-24,카페/간식,메가커피,신용카드,8300.0,
TX100498,2025-07-07,식비,동네식당,체크카드,1600.0,
TX100869,2025-11-21,교통,주차장,신용카드,3600.0,
TX100107,2025-02-08,식비,김밥천국,신용카드,20000.0,
TX100444,2025-06-17,통신,SKT,신용카드,64100.0,
TX100489,2025-07-03,의료/건강,헬스장,신용카드,10700.0,
TX100648,2025-09-01,교통,서울교통공사,신용카드,3700.0,
TX100013,2025-01-04,교통,서울교통공사,신용카드,4000.0,
TX100739,2025-10-01,교통,서울교통공사,체크카드,1000.0,
TX100731,2025-09-29,경조사/기타,축의금,신용카드,17500.0,
TX100191,2025-03-14,쇼핑,네이버페이,신용카드,37200.0,
TX100915,2025-12-08,식비,편의점(GS25),신용카드,15500.0,
TX100283,2025-04-17,교통,카카오T,신용카드,1200.0,
TX100030,2025-01-10,식비,편의점(GS25),간편결제,17700.0,
TX100170,2025-03-07,식비,한솥도시락,신용카드,16100.0,
TX100182,2025-03-11,카페/간식,스타벅스,신용카드,11000.0,
TX100101,2025-02-05,문화/여가,공연티켓,간편결제,18100.0,
TX100198,2025-03-17,식비,교촌치킨,간편결제,13800.0,
TX100496,2025-07-06,쇼핑,,체크카드,55000.0,
